id,eje,subfila_de,indicador,escala,base_anio,base_anio_texto,base_valor,meta_2015,meta_2020,meta_2025,meta_2030,anios_sin_meta_numerica
3.20,3,,Participación % exportaciones dominicanas en exportaciones mundiales de productos agropecuarios,numerica,,Promedio 2006- 2007,0.097,0.119,0.132,0.149,0.166,
3.21,3,,Exportaciones per cápita,numerica,2009,,1070.0,2680.9,4023.2,5365.6,6708.0,
3.22,3,,Razón exportaciones de bienes y servicios sobre importaciones de bienes y servicios,umbral,,2005- 2010,0.75,0.85,1.0,>=1.0,>=1.0,
3.23,3,,Flujo anual de inversión extranjera directa,umbral,2010,,1625.3,>1700,>2000,>2250,>2500,
3.24,3,,Crédito a la producción como % del PIB,numerica,,Promedio 2005- 2010,2.24,8.0,16.0,25.0,30.0,
3.25,3,,Presión tributaria (ingresos tributarios como % del PIB),numerica,2010,,13.0,16.0,19.0,21.5,24.0,
3.26,3,,Ingreso Nacional Bruto per cápita basado en método Atlas (mínimo deseable en dólares corrientes internacionales),numerica,2008,,4460.0,6351.8,7753.0,10103.5,12454.0,
3.27,3,,Índice de recuperación de efectivo en el sector eléctrico (monto real de cobranzas con relación al máximo que se podría cobrar si no existieran pérdidas de ningún tipo en el mismo período),numerica,2008,,64.0,75.1,83.0,85.0,87.0,
3.28,3,,Pérdidas en el sector eléctrico,numerica,2008,,38.9,20.0,9.0,8.5,7.0,
3.29,3,,Niveles de cobranza en el sector eléctrico (cobro por facturación / monto facturado),numerica,2008,,94.2,95.3,96.0,97.0,98.0,
3.30,3,,Monto de subsidios del Gobierno,numerica,2008,,530.0,261.7,70.0,62.5,55.0,
4.1,4,,Emisiones de dióxido de carbono,numerica,2010,,3.6,3.4,3.2,3.0,2.8,
4.2,4,,Áreas protegidas nacionales,numerica,2009,,24.4,24.4,24.4,24.4,24.4,
4.3,4,,Tasa de deforestación anual promedio,numerica,2005,,0.1,-0.1,-0.2,-0.2,-0.2,
4.4,4,,Eficiencia en el uso de agua en sistemas y redes de distribución de agua y su aplicación final en sistema de riego,numerica,2010,,28.0,36.5,45.0,45.0,45.0,
